no_emissor_padronizado,no_emissor_fitch,no_emissor_moodys,no_emissor_standard_and_poors,no_emissor_austin,no_emissor_liberum,cnpj_emissor
PLURAL GESTAO RECURSOS,Plural Gestao de Recursos Ltda.,,,,,11397672000280
PLURAL INVESTIMENTOS GESTAO RECURSOS,Plural Investimentos Gestao de Recursos Ltda.,,,,,09630188000126
PMGCRED FIDC,,,,PMGCRED FIDC - SUBORDINADAS JÚNIOR,,
PNEUCASH FIDC,Pneucash FIDC,,,,,
PODIUM MEZANINO FUNDO INVESTIMENTO COTAS FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,PODIUM MEZANINO FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,
PODIUM SENIOR FUNDO INVESTIMENTO COTAS FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,PODIUM SENIOR FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,
POLO CAPITAL GESTAO RECURSOS,,Polo Capital Gestão De Recursos Ltda.,,,,05451668000179
POMERWASSER AMBIENTAL S.P..,,Pomerwasser Ambiental S.P.E. S.A.,,,,50675079000129
PONTAL FIDC NP,,,,PONTAL FIDC NP - ÚNICA,,
PORTLAND CREDITOS JUDICIAIS FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,PORTLAND CRÉDITOS JUDICIAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,37021468000172
PORTLAND CREDITOS JUDICIAIS FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO,,,,,PORTLAND CRÉDITOS JUDICIAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,37021468000172
PORTO FINO FIC FIDC,,,,PORTO FINO FIC FIDC - SUBORDINADAS JÚNIOR,,
PORTO PRIMAVERA TRANSMISSORA ENERGIA,Porto Primavera Transmissora de Energia S.A.,,,,,
PORTO SEGURO INVESTIMENTOS,Porto Seguro Investimentos Ltda.,,,,,16492391000149
PORTOCEM GERACAO ENERGIA,,Portocem Geração de Energia S.A.,,,,27241084000101
PORTOSEG,"Portoseg S.A. - Credito, Financiamento e Investimento",,,,,
POSITIVO TECNOLOGIA,,,Positivo Tecnologia S.A.,,,81243735000148
POTENGI HOLDINGS,Potengi Holdings S.A.,,,,,
POTTENCIAL SEGURADORA,Pottencial Seguradora S.A.,,,,,11699534000174
POUSO ALEGRE FIC FIDC,,,,POUSO ALEGRE FIC FIDC - SUBORDINADAS JÚNIOR,,29152737000101
PRATI,,"Prati, Donaduzzi & Cia Ltda.",,,,73856593000166
PRAVALER CREDITO UNIVERSITARIO FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,Pravaler Credito Universitario Fundo de Investimento em Direitos Creditorios - Responsabilidade Limitada,,,
PRAVALER CREDITO UNIVERSITARIO II FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,Pravaler Credito Universitario II Fundo de Investimento em Direitos Creditorios - Responsabilidade Limitada,,,26749095000134
PRAVALER CREDITO UNIVERSITARIO IV FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,Pravaler Credito Universitario IV Fundo de Investimento em Direitos Creditorios - Responsabilidade Limitada,,,55983705000168
PRECATO I FIDC NP,,,,PRECATO I FIDC NP - SUBORDINADAS JÚNIOR,,
PRECAVIDA II FIDC NP,,,,PRECAVIDA II FIDC NP - SENIORES ÚNICA,,
PREMIER RP FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,PREMIER RP FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,32511268000184
PREMIUM RECEBIVEIS I MULTISSETORIAL,,,,,PREMIUM RECEBIVEIS I MULTISSETORIAL - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,
PREMIUM RECEBIVEIS I MULTISSETORIAL FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,PREMIUM RECEBÍVEIS I MULTISSETORIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,
PRINCIPAL ASSET MANAGEMENT,,Principal Asset Management Ltda.,,,,03987891000100
PRIO,PRIO S.A.,,Prio S.A.,,,10629105000168
PRIO FORTE,Prio Forte S.A.,,PRIO Forte S.A.,,,08926302000105
PRK FIDC,,,,PRK FIDC - SENIORES 2ª SÉRIE,,
PROA FIDC,,,,PROA FIDC - SUBORDINADAS JÚNIOR,,
PROLAGOS,Prolagos S.A. - Concessionaria de Servicos Publicos de Agua e Esgoto,,Prolagos S.A. - Concessionaria de Servicos Publicos de Agua e Esgoto (Prolagos),,,02382073000110
PROLOJ FIDC,,,,PROLOJ FIDC - SUBORDINADAS JÚNIOR,,
PROPRIO CAPITAL GESTAO RECURSOS,,,,PRÓPRIO CAPITAL GESTÃO DE RECURSOS LTDA.,,13993865000148
PRS AEROPORTOS,,PRS Aeroportos S.A.,,,,48534024000157
PUMA FIDC NP,,,,PUMA FIDC NP - SUBORDINADAS,,
QANTIC FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,QANTIC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,
QANTIC IONIQ FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,QANTIC IONIQ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,39703077000163
QI PARTICIPACOES,QI Participacoes Ltda.,,,,,
QI SOCIEDADE CREDITO DIRETO,QI Sociedade de Credito Direto S.A.,,,,,
QISTA,"Qista S.A. - Credito, Financiamento e Investimento","Qista S.A. - Crédito, Financiamento e Investimento",,,,36583700000101
QMC TELECOM CESSAO INFRAESTRUTURA,QMC Telecom do Brasil Cessao de Infraestrutura S.A.,,,,,13733490000187
QUALICORP CONSULTORIA CORRETORA SEGUROS,,,Qualicorp Consultoria e Corretora de Seguros S.A.,,,11992680000193
QUANTHAS FIDC,,,,QUANTHAS FIDC - SUBORDINADAS JÚNIOR,,
QUANTUM MANTIQUEIRA PARTICIPACOES,,Quantum Mantiqueira Participações S.A.,,,,46568486000160
QUANTUM PARTICIPACOES,,Quantum Participações S.A.,,,,28367479000118
QUARTER PRECATORIOS FIDC NP,,,,,QUARTER PRECATÓRIOS FIDC NP,
QUEVEDOS ENERGETICA,Quevedos Energetica S.A.,,,,,
R G FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISEGMENTOS,,,,,R&G FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS,11693671000100
RADIX SENIOR FIDC NP,,,,RADIX SÊNIOR FIDC NP - SENIORES ÚNICA,,
RAIA DROGASIL,,Raia Drogasil S.A.,,,,61585865000151
RAIZEN,Raizen S.A.,Raízen S.A.,Raizen S.A.,,,33453598000123
RAIZEN ENERGIA,Raizen Energia S.A.,Raízen Energia S.A.,,,,08070508000178
RAIZES FIDC,,,,RAÍZES FIDC - SUBORDINADAS MEZANINO I-A,,
RANDONCORP,,,Randoncorp S.A.,,,89086144000116
RAPPICARD FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,RAPPICARD FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,37986018000114
RB CAPITAL CIA. SECURITIZACAO,,,,RB CAPITAL CIA. DE SECURITIZAÇÃO - RISCO BALAROTI (219ª SÉRIE - 1ª EMISSÃO),,
RB CAPITAL CREDIT ALPHA STRATEGY I FUNDO INVESTIMENTOS DIREITOS CREDITORIOS,,,RB Capital Credit Alpha Strategy I Fundo de Investimentos de Direitos Creditorios - Responsabilidade Limitada,,,32.724.252/0001-50
RBR GESTAO RECURSOS,,RBR Gestão de Recursos Ltda.,,,,18259351000187
RBR PRIVATE EQUITY GESTAO RECURSOS,,RBR Private Equity Gestão de Recursos Ltda,,,,40147051000165
RC HOLDING,RC Holding S.A.,,,,,
RCL3X FIAGRO,,,,,RCL3X FIAGRO - DIREITOS CREDITÓRIOS,
RDF FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,RDF Fundo de Investimento em Direitos Creditórios,19425700000156
RDVE SUBHOLDING,RDVE Subholding S.A.,,,,,
REAG ASSET MANAGEMENT,Reag Asset Management Ltda.,,,,,18606232000153
REAG SPECIAL SITUATION FUNDO INVESTIMENTO DIREITOS CREDITORIOS PADRONIZADOS ABERTO,,,,,Reag Special Situation Fundo de Investimento em Direitos Creditórios Padronizados Aberto,
REAL INVESTOR ASSET MANAGEMENT,,Real Investor Asset Management Ltda,,,,11570951000112
REALINVEST FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,REALINVEST FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,42449234000160
RECARGAPAY FIDC,,,,RECARGAPAY FIDC - SUBORDINADAS MEZANINO,,
RED,,,RED - Fundo de Investimento em Direitos Creditorios Multisetorial LP - Responsabilidade Limitada,,,08632394000102
RED FUNDO INVESTIMENTO DIREITOS CREDITORIOS REAL LP RESPONSABILIDADE LIMITADA,,,RED Fundo de Investimento em Direitos Creditorios Real LP de Responsabilidade Limitada,,,17250006000110
RED PERFORMANCE FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO PADRONIZADOS RESPONSABILIDADE LIMITADA,,,,,Red Performance Fundo De Investimento Em Direitos Creditórios Não Padronizados De Responsabilidade Limitada,
RED PERFORMANCE FUNDO INVESTIMENTOS DIREITOS CREDITORIOS NAO,,,,,Red Performance Fundo de Investimentos em Direitos Creditórios Não-Padronizados,
RED PERFORMANCE FUNDO INVESTIMENTOS DIREITOS CREDITORIOS NAO PADRONIZADOS,,,,,Red Performance Fundo de Investimentos em Direitos Creditórios Não Padronizados,
REDE D'OR SAO LUIZ,Rede D'Or Sao Luiz S.A.,,Rede D'Or Sao Luiz S.A.,,,06047087000139
REDWOOD ADMINISTRACAO RECURSOS,,,Redwood Administracao de Recursos Ltda.,,,10405423000145
REFINARIA MATARIPE,Refinaria de Mataripe S.A.,,,,,41777706000141
REFRESCOS BANDEIRANTES INDUSTRIA COMERCIO,,Refrescos Bandeirantes Indústria e Comércio Ltda.,,,,03380763001507
REGENERA RIO,,,Regenera Rio S.A.,,,10319900000150
REGIA DESENVOLVE SP FIDC,,,,RÉGIA DESENVOLVE SP FIDC - SENIORES ÚNICA,,
REIT SECURITIZADORA,,,,REIT SECURITIZADORA - RISCO PRÓ LOTES (16ª SÉRIE - 2ª EMISSÃO),,13349677000181
REPUBLICA FEDERATIVA,,,Republica Federativa do Brasil,REPÚBLICA FEDERATIVA DO BRASIL (ESCALA GLOBAL),,52148956000139
REUSO ITABORAI,,,Reuso Itaborai S.A.,,,51321805000178
REZIM FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,REZIM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,
RGE SUL DISTRIBUIDORA ENERGIA,RGE Sul Distribuidora de Energia S.A.,RGE Sul Distribuidora de Energia S.A.,,,,02016440000162
RIALMA ENERGIA,,,,,RIALMA ENERGIA S.A.,15014934000150
RIALMA ENERGIA SPE,,,,,RIALMA ENERGIA SPE S.A.,64948494000113
RIALMA TRANSMISSORA ENERGIA V,Rialma Transmissora de Energia V S.A,,,,,
RIBEIRO GONCALVES ENERGIA SOLAR,Ribeiro Goncalves Energia Solar S.A.,,,,,31711512000190
RIDOLFINVEST 2 FIDC,,,,,RIDOLFINVEST 2 FIDC-NP,
RIDOLFINVEST 2 FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO PADRONIZADOS,,,,,RIDOLFINVEST 2  FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,
RIDOLFINVEST 2 FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO PADRONIZADOS RESPONSABILIDADE LIMITADA,,,,,RIDOLFINVEST 2  FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS RESPONSABILIDADE LIMITADA,
RIGEL FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,RIGEL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,50739342000104
RINCAO ALBINOS ENERGETICA,Rincao dos Albinos Energetica S.A.,,,,,
RINCAO SAO MIGUEL ENERGETICA,Rincao Sao Miguel Energetica S.A.,,,,,
RIO BRAVO INVESTIMENTOS HOLDING,,,Rio Bravo Investimentos Holding S.A.,,,26039970000194
RIO BRAVO RENDA VAREJO FUNDO INVESTIMENTO IMOBILIARIO RESPONSABILIDADE LIMITADA,,Rio Bravo Renda Varejo Fundo de Investimento Imobiliário de Responsabilidade Limitada,,,,
RIO CASCA ENERGETICA,,Rio Casca Energética S.A.,,,,09597979000100
RIO JANEIRO,"Rio de Janeiro, City of",,,,,02058338000120
RIO JANEIRO. STATE OF,Rio de Janeiro. State of,,,,,4249860000171
RIO OIL FINANCE TRUST,Rio Oil Finance Trust,,,,,20303800000199
RIO PARANA ENERGIA,,Rio Paraná Energia S.A.,,,,23096269000119
RIO PARANAPANEMA ENERGIA,,Rio Paranapanema Energia S.A.,,,,02998301000181
RIO+ SANEAMENTO BL3,Rio+ Saneamento Bl3 S.A,,,,,
RIVO FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,RIVO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,07383363000100
RIZA ALLOCATION GESTORA RECURSOS,,Riza Allocation Gestora de Recursos Ltda.,,,,47138945000138
RIZA GESTORA RECURSOS,,Riza Gestora de Recursos Ltda.,,,,12209584000199
RIZA LIQUIDOS GESTORA RECURSOS,,Riza Líquidos Gestora de Recursos Ltda.,,,,50715649000167
RIZA SECURITIZACAO CARTEIRAS GESTORA RECURSOS,,Riza Securitização e Carteiras Gestora de Recursos Ltda.,,,,37556621000166
RIZA SECURITIZADORA,,Riza Securitizadora S.A. (Nova denominação de Virgo Companhia de Securitização) - 155ª e 156ª Séries da 4ª Emissão de CRIs (Risco B3 S.A.),Riza Securitizadora S.A.,,,08769451000108
RIZA SECURITIZADORA 2019,Riza Securitizadora 2019-4-64 (Sao Goncalo Shopping),,,,,08.769.451/0001-08
RIZA SECURITIZADORA 2021,Riza Securitizadora 2021-25-1 (M. Dias Branco),,,,,08.769.451/0001-08
RIZA SECURITIZADORA 2022,Riza Securitizadora 2022-4-417 (CSN Cimentos),,,,,08.769.451/0001-08
RIZA SECURITIZADORA 2023,"Riza Securitizadora 2023-166-1,2 (J. Macedo)",,,,,08.769.451/0001-08
RIZA SECURITIZADORA 2024,"Riza Securitizadora 2024-218-1,2,3 (JBS)",,,,,08769451000108
RIZA SECURITIZADORA 2025,"Riza Securitizadora 2025-263-1,2,3 (JBS)",,,,,
RNI NEGOCIOS IMOBILIARIOS,RNI Negocios Imobiliarios S.A.,,,,,67010660000124
RNX FIDC MULTISSETORIAL,,,,RNX FIDC MULTISSETORIAL - SENIORES 30ª SÉRIE,,
RNX FIDC MULTISSETORIAL LP,,,,RNX FIDC MULTISSETORIAL LP - SUBORDINADAS MEZANINO XVI,,
RNX FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISSETORIAL RESPONSABILIDADE LIMITADA,,,RNX Fundo de Investimento em Direitos Creditorios Multissetorial de Responsabilidade Limitada,,,12813212000177
RODEIO FIDC,,,,RODEIO FIDC - SUBORDINADAS MEZANINO,,
RODOBENS,Rodobens S.A.,,,,,59981829000165
RODOBENS ADMINISTRADORA CONSORCIOS,Rodobens Administradora de Consorcios Ltda,,,,,51855716000101
RODOVIAS COLINAS,,,Rodovias das Colinas S.A.,,,03025305000146
RODOVIAS HOLDING,Rodovias do Brasil Holding S.A.,Rodovias do Brasil Holding S.A.,,,,41508382000146
RODOVIAS INTEGRADAS OESTE,,Rodovias Integradas do Oeste S.A. (CCR SPVias),Rodovias Integradas do Oeste S.A.,,,03497792000140
ROTA PARA,Rota do Para S.A,,,,,
ROYAL OAK FUNDO INVESTIMENTO COTAS FUNDOS INVESTIMENTO DIREITOS CREDITORIOS NAO PADRONIZADOS,,,,,ROYAL OAK FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITORIOS NÃO PADRONIZADOS,
ROYAL OAK FUNDO INVESTIMENTO COTAS FUNDOS INVESTIMENTOS MULTIMERCADO CREDITO PRIVADO INVESTIMENTO EXTERIOR,,,,,ROYAL OAK FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTOS MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR,23029136000120
ROYAL THERMALE FIDC,,,,ROYAL THERMALE FIDC - SENIORES ÚNICA,,
RSS FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,RSS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,49265047000176
RUBI FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISETORIAL,,,,,RUBI FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISETORIAL,19187286000194
RUBI FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISETORIAL RESPONSABILIDADE LIMITADA,,,,,RUBI FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISETORIAL RESPONSABILIDADE LIMITADA,
RUMO,Rumo S.A.,,Rumo S.A.,,,02387241000160
RUMO MALHA NORTE,Rumo Malha Norte S.A.,,,,,24962466000136
RUMO MALHA PAULISTA,Rumo Malha Paulista S.A.,,Rumo Malha Paulista S.A.,,,02502844000166
RUMO MALHA SUL,Rumo Malha Sul S.A.,,,,,01258944000126
SABEMI MONO COTA II FIDC,,,,SABEMI MONO COTA II FIDC - ÚNICA,,
SABER SERVICOS EDUCACIONAIS,Saber Servicos Educacionais S.A.,,,,,03818379000130
SAFRA ASSET CORRETORA TITULOS VALORES MOBILIARIOS,,Safra Asset Corretora de Títulos e Valores Mobiliários S.A.,,,,65913436000117
SAFRA DISTRIBUIDORA TITULOS VALORES MOBILIARIOS,,Safra Distribuidora de Títulos e Valores Mobiliários Ltda. S.A.,,,,01638542000157
SAINT JOHN FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO,,,,,SAINT JOHN FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS,26199830000183
SALTO GUASSUPI ENERGETICA,Salto do Guassupi Energetica S.A.,,,,,
SAMARCO MINERACAO,Samarco Mineracao S.A.,,,,,16628281000161
SAN PRECA FEDERAL I FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,SAN PRECA FEDERAL I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS – RESPONSABILIDADE LIMITADA,44395262000178
SAN PRECA FEDERAL I FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO,,,,,SAN PRECA FEDERAL I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,44395262000178
SANEAMENTO AMBIENTAL AGUAS,Saneamento Ambiental Aguas do Brasil S.A.,,,,,
SANEAMENTO GOIAS,Saneamento de Goias S.A. (Saneago),Saneamento De Goiás S.A. - Saneago,,,,01616929000102
SANTA CATARINA,,,Santa Catarina (State of),,,00058108000135
SANTA FE FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO PADRONIZADOS,,,,,SANTA FÉ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,
SANTA MARIA ADMINISTRACAO PARTICIPACAO,,Santa Maria Administração e Participação S.A.,,,,03199941000194
SANTA VITORIA PALMAR ENERGIAS RENOVAVEIS,Santa Vitoria do Palmar Energias Renovaveis S.A.,,,,,
SANTANDER GESTAO RECURSOS,,Santander Brasil Gestão de Recursos Ltda.,,,,10231177000152
SANTANDER INFRAESTRUTURA INCENTIVADO FIC FIDC,,,,SANTANDER INFRAESTRUTURA INCENTIVADO FIC FIDC - ÚNICA,,34218619000199
SANTIAGO HOME EQUITY FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,SANTIAGO HOME EQUITY FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS,32969565000178
SANTO ANTONIO ENERGIA,Santo Antonio Energia S.A.,,,,,
SANTOS PARTICIPACOES,,,Santos Brasil Participacoes S.A.,,,02762121000104
SAO CARLOS EMPREENDIMENTOS PARTICIPACOES,,São Carlos Empreendimentos e Participações S.A.,,,,29780061000109
SAO CRISTOVAO FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO,,,,,SÃO CRISTÓVÃO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADO,46231939000168
SAO GABRIEL SANEAMENTO,Sao Gabriel Saneamento S.A,,,,,
SAO MARTINHO,,,Sao Martinho S.A.,,,51466860000156
SAO PAULO,"Sao Paulo, Municipality of",,,,,46379400000150
SAO ROQUE ENERGETICA,Sao Roque Energetica S.A.,,,,,
SATURNO FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,SATURNO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,23104455000152
SAV NEXOOS FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,SAV NEXOOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,38284301000167
SB CREDITO FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISSETORIAL CLASSE UNICA FECHADA,,,SB Credito Fundo de Investimento em Direitos Creditorios Multissetorial de Classe Unica Fechada,,,23956882000169
SBF COMERCIO PRODUTOS ESPORTIVOS,SBF Comercio de Produtos Esportivos S.A.,,,,,06347409000165
SBK CAPITAL FIDC,,,,SBK CAPITAL FIDC - SUBORDINADAS MEZANINO VI,,
SC FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,SC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,45523882000108
SCANIA BANCO,,Scania Banco S.A.,,,,11417016000110
SCE FIDC,,,,SCE FIDC - ÚNICA,,
SCF BRAZIL FIDC NP,,,,SCF BRAZIL FIDC NP - SUBORDINADAS JÚNIOR,,34327179000108
SCOTIABANK BANCO MULTIPLO,,Scotiabank Brasil S.A. Banco Múltiplo,,,,29030467000166
SE VINEYARDS TRANSMISSAO ENERGIA,SE Vineyards Transmissao de Energia S.A.,,,,,
SEARA ALIMENTOS,,Seara Alimentos Ltda.,,,,02914460000150
SECTOR FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,SECTOR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,
SEJA FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,SEJA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,24987402000190
SELLER 3 FIDC,,,,SELLER 3 FIDC - SENIORES ÚNICA,,
SELLER 3 FIDC MEIOS PAGAMENTO,,,,SELLER 3 FIDC MEIOS DE PAGAMENTO - RL - SENIORES 2ª SÉRIE,,
SELLER FIDC,,,,SELLER FIDC - SUBORDINADAS JÚNIOR,,50473039000102
SELLER II FUNDO INVESTIMENTO DIREITOS CREDITORIOS SEGMENTO MEIOS PAGAMENTO RESPONSABILIDADE,,,Seller II Fundo de Investimento em Direitos Creditorios Segmento Meios de Pagamento de Responsabilidade Ltda.,,,55471753000177
SELLOR FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISSETORIAL,,,,,SELLOR FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL,55257461000136
SENDAS DISTRIBUIDORA,Sendas Distribuidora S/A,,,,,06057223000171
SENIOR SISTEMAS,Senior Sistemas S.A.,,,,,80680093000181
SER EDUCACIONAL,Ser Educacional S.A.,,,,,04986320000113
SERENA DESENVOLVIMENTO,Serena Desenvolvimento S.A.,,,,,
SERENA GERACAO,Serena Geracao S.A.,,,,,09149503000106
SERGIPE,"Sergipe, State of",,,,,
SERRA FACAO ENERGIA,,Serra do Facão Energia S.A.,,,,07727966000174
SERRA IBIAPABA TRANSMISSORA ENERGIA,Serra de Ibiapaba Transmissora de Energia S.A.,,,,,
SERRA MEL HOLDING,Serra do Mel Holding S.A.,,,,,
SERRA SERIDO F2 HOLDING,Serra do Serido F2 Holding S.A.,,,,,
SERRANA FIDC,,,,SERRANA FIDC - SUBORDINADAS MEZANINO II,,
SERRAS HOLDING,Serras Holding S.A.,,,,,
SERTAO I SOLAR ENERGIA SPE,Sertao I Solar Energia Spe S.A.,,,,,
SETTE FIDC,,,,SETTE FIDC - SUBORDINADAS JÚNIOR,,
SEVEN FIDC,,,,SEVEN FIDC - SUBORDINADAS,,
SF4 FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,,,,SF4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,
SFT FIDC,,,,SFT FIDC  - SUBORDINADAS JÚNIOR,,
SFT FIDC 1a,,,,"SFT FIDC 1ª, 4ª E 5ª - SENIORES 1ª SÉRIE",,
SG FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,SG FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,29720582000162
SG II FUNDO INVESTIMENTO COTAS FUNDOS INVESTIMENTO DIREITOS CREDITORIOS NAO,,,,,SG II A Fundo De Investimento Em Cotas De Fundos De Investimento Em Direitos Creditorios Nao-Padronizados,18048628000122
SG III FUNDO INVESTIMENTO COTAS FUNDO INVESTIMENTO DIREITOS CREDITORIO,,,,,SG III Fundo de Investimento em Cotas de Fundo de Investimento em Direitos Creditório - NP,12036247000147
SG IV LOCAL ATIVOS JUDICIAIS FUNDO INVESTIMENTO COTAS FUNDOS INVESTIMENTO DIREITOS CREDITORIOS,,,,,SG IV LOCAL ATIVOS JUDICIAIS FUNDO DE  INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS,
SG IV LOCAL FUNDO INVESTIMENTO COTAS FUNDO INVESTIMENTO DIREITOS CREDITORIO,,,,,SG IV Local Fundo de Investimento em Cotas de Fundo de Investimento em Direitos Creditório - Não Padronizado,
SG JC III FIC FIDC NP,,,,,SG JC III FIC FIDC NP,
SGC UT FIDC NP,,,,,SGC UT FIDC NP,
SHARP CAPITAL GESTORA RECURSOS,,Sharp Capital Gestora de Recursos Ltda.,,,,27957477000116
SICOOB COCRED COOPERATIVA CREDITO,Sicoob Cocred Cooperativa de Credito,,,,,71328769000181
SICOOB COOPECREDI,,,,SICOOB COOPECREDI,,
SICOOB CREDICOM,,Sicoob Credicom - Cooperativa de Economia e Crédito Mútuo dos Médicos e Profissionais da Área de Saúde do Brasil Ltda.,,SICOOB CREDICOM,,42898825000115
SICOOB DISTRIBUIDORA TITULOS VALORES MOBILIARIOS,Sicoob Distribuidora de Titulos e Valores Mobiliarios Ltda.,,,,,07397614000106
SICREDI ASSET MANAGEMENT,Sicredi Asset Management,,,,,
SIFRA ENERGY PODIUM FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,SIFRA ENERGY PODIUM FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,42462120000150
SIFRA LP FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,SIFRA LP FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,41351629000163
SIFRA PLUS MULTISSEGMENTO FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,Sifra Plus Multissegmento Fundo de Investimento em Direitos Creditórios,
SIGMA CREDIT FEEDER FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,SIGMA CREDIT FEEDER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,29461840000133
