no_emissor_padronizado,no_emissor_fitch,no_emissor_moodys,no_emissor_standard_and_poors,no_emissor_austin,no_emissor_liberum,cnpj_emissor
APROVOU FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,,,,APROVOU FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE  LIMITADA,62135021000171
APUAMA CAPITAL GESTORA RECURSOS,,,,APUAMA CAPITAL GESTORA DE RECURSOS LTDA.,,13557425000148
AQUAPOLO AMBIENTAL,Aquapolo Ambiental S.A.,,,,,11399666000180
AQUIRAZ FIC FIDC,,,,AQUIRAZ FIC FIDC - SUBORDINADAS MEZANINO III,,
ARAUCARIA SANEAMENTO,,Araucária Saneamento S.A.,,,,12049167000126
ARCOVERDE TRANSMISSAO ENERGIA,Arcoverde Transmissao de Energia S.A.,,,,,
AREA GESTAO RECURSOS TERCEIROS BANESTES DTVM,,,,ÁREA DE GESTÃO DE RECURSOS DE TERCEIROS DA BANESTES DTVM,,
ARES FIDC NP,,,,ARES FIDC NP - SUBORDINADAS,,
ARGENTA FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,ARGENTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,45931917000148
ARGENTA FUNDO INVESTIMENTO DIREITOS CREDITORIOS MERCANTIS RESPONSABILIDADE LIMITADA,,,,,ARGENTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MERCANTIS DE RESPONSABILIDADE LIMITADA,45931917000148
ARGO ENERGIA EMPREENDIMENTOS PARTICIPACOES,,Argo Energia Empreendimentos e Participações S.A.,,,,24624551000194
ARGO TRANSMISSAO ENERGIA,Argo Transmissao de Energia S.A.,,,,,
ARGO V TRANSMISSAO ENERGIA,Argo V Transmissao de Energia S.A.,,,,,20514590000188
ARGO VI TRANSMISSAO ENERGIA,Argo VI Transmissao de Energia S.A.,,,,,
ARMAC LOCACAO,"Armac Locacao, Logistica e Servicos S.A.","Armac Locação, Logistica e Serviços S.A.",,,,00242184000104
ARPEL CAPITAL FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,ARPEL CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,50309743000116
ARPEL CAPITAL FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO PADRONIZADOS,,,,,ARPEL CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,50309743000116
ARTCON FIDC MULTISETORIAL NP,,,,ARTCON FIDC MULTISETORIAL NP  - SUBORDINADAS JÚNIOR,,
ARTEMUS FIDC,,,,ARTEMUS FIDC - SENIORES 5ª SÉRIE,,
ARTERIS,,,Arteris S.A.,,,02919555000167
ARTESANAL FGTS FIDC,,,,ARTESANAL FGTS FIDC - SENIORES 2ª SÉRIE,,
ARTESANAL INVESTIMENTOS,,,,ARTESANAL INVESTIMENTOS LTDA.,,03084098000109
ARTESANAL RECEBIVEIS IMOBILIARIOS FIDC,,,,ARTESANAL RECEBÍVEIS IMOBILIÁRIOS FIDC  - SUBORDINADAS JÚNIOR,,
ARTESANAL SECURITIZADORA CREDITOS,,,,ARTESANAL SECURITIZADORA DE CRÉDITOS S.A.,,52890908000111
ARTICO FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,ÁRTICO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,58215693000110
ARTICO MIDDLE CORPORATE FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,Artico Middle Corporate Fundo de Investimento em Direitos Creditorios,,ÁRTICO MIDDLE CORPORATE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,26208328000191
ARVIN CAPITAL FUNDO INVESTIMENTO DIREITOS CREDITORIOS RECEBIVEIS COMERCIAIS RESP LIMITADA,,Arvin Capital Fundo de Investimento em Direitos Creditórios Recebíveis Comerciais Resp Limitada,,,,64756643000142
ARX INVESTIMENTOS,,ARX Investimentos Ltda,,,,04408128000140
ASA BRANCA HOLDING,ASA Branca Holding S.A.,,,,,
ASA CREDITO DISTRESSED FIDC NP,,,,ASA CRÉDITO DISTRESSED FIDC NP - ÚNICA,,
ASA FIC FIDC 90,,,,ASA FIC FIDC 90 - SENIORES 2ª SÉRIE,,
ASA LONGO PRAZO FUNDO INVESTIMENTO COTAS FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,,Asa Longo Prazo Fundo de Investimento em Cotas de Fundo De investimento em Direitos Creditórios Responsabilidade Limitada,,,49916151000183
ASA LONGO PRAZO II FUNDO INVESTIMENTO COTAS FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,,Asa Longo Prazo II Fundo De Investimento Em Cotas De Fundo De Investimento Em Direitos Creditorios Responsabilidade Limitada,,,56924942000110
ASA LP FIC FIDC,,,,ASA LP FIC FIDC - SENIORES 6ª SÉRIE,,
ASH HOLDINGS,,,,,ASH HOLDINGS LIMITED,46702552000142
ASPEN FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,ASPEN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,24445329000124
ASSOCIACAO HOSPITALAR MOINHOS VENTO,,Associação Hospitalar Moinhos de Vento,,,,92685833000151
ASSOCIACAO POUPANCA EMPRESTIMO,,Associação de Poupança e Empréstimo - Poupex,,,,00655522005352
ASSURUA 4 5 HOLDING ENERGIA,Assurua 4 e 5 Holding Energia S.A.,,,,,38286323000166
ATACADAO,,,Atacadao S.A.,,,75315333000109
ATHENA SAUDE,Athena Saude Brasil S.A.,,,,,31701408000114
ATHON GERACAO DISTRIBUIDA,Athon Geracao Distribuida S/A,,,,,30997588000160
ATHON GERACAO DISTRIBUIDA II,Athon Geracao Distribuida II S.A.,,,,,38213667000145
ATHON GERACAO DISTRIBUIDA III,Athon Geracao Distribuida III S.A.,,,,,52948225000178
ATHON GERACAO DISTRIBUIDA VI,Athon Geracao Distribuida VI S.A.,,,,,58315021000186
ATICCA FIC FIDC,,,,ATICCA FIC FIDC - SUBORDINADAS JÚNIOR,,
ATICCA FIDC,,,,ATICCA FIDC - SUBORDINADAS MEZANINO I,,
ATLANTA FIDC MULTISSETORIAL,,,,ATLANTA FIDC MULTISSETORIAL - SENIORES 8ª SÉRIE,,
ATLANTIC FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISSETORIAL,,,,,ATLANTIC FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL,09636040000107
ATLANTICO FIDC NP,,,,ATLÂNTICO FIDC NP - ÚNICA,,
ATLANTICO FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO PADRONIZADOS,,,,,ATLANTICO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,32156003000105
ATLANTICO FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,,,,ATLÂNTICO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,09194841000151
ATLAS FIDC NP,,,,ATLAS FIDC NP - SENIORES 2ª SÉRIE,,
ATLAS HUB II FIDC,,,,ATLAS HUB II FIDC - SENIORES ÚNICA,,68693823000183
ATLAS HUB III FIDC,,,,ATLAS HUB III FIDC - SUBORDINADAS PREFERENCIAIS,,68693823000183
ATLAS LUIZ CARLOS COMERCIALIZADORA ENERGIA,Atlas Luiz Carlos Comercializadora de Energia S.A,,,,,49037416000173
ATMOS CAPITAL GESTAO RECURSOS,,Atmos Capital Gestão de Recursos Ltda.,,,,10957035000177
ATTALANTA FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,ATTALANTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,49971985000191
ATTALANTA FUNDO INVESTIMENTO DIREITOS CREDITORIOS CREDITO CORPORATIVO,,,,,ATTALANTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CRÉDITO CORPORATIVO,49971985000191
AUDAX CAPITAL FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,AUDAX CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,40895649000132
AURA ALMAS MINERACAO,,,Aura Almas Mineracao S.A.,,,08213823000107
AURA MINERALS,,,Aura Minerals Inc.,,,07857093000114
AUREN ENERGIA,Auren Energia S.A.,Auren Energia S.A.,,,,28594234000123
AUREN OPERACOES,Auren Operacoes S.A.,Auren Operações S.A. (sucessora de AES Brasil Operações S.A.),,,,00194724000113
AUREN PARTICIPACOES,Auren Participacoes S.A.,Auren Participações S.A.,,,,37663076000107
AURI FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,AURI FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,26452257000178
AURI FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,,,,AURI FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,26452257000178
AURUM,,,,,AURUM - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL LP,15653649000189
AUSTRAL RESSEGURADORA,,,Austral Resseguradora S.A.,,,11536561000126
AUSTRAL SEGURADORA,,,Austral Seguradora S.A.,,,11521976000126
AUTO LOANS FIDC,,,,AUTO LOANS FIDC - SUBORDINADAS JÚNIOR,,63662224000189
AUTOBAN,,,Autoban - Concessionaria do Sistema Anhanguera Bandeirantes S.A.,,,11089723000125
AUTOMOB PARTICIPACOES,,AUTOMOB Participações S.A.,,,,35654688000108
AUTOMOTIVO FIDC,Automotivo FIDC (GM),,,AUTOMOTIVO FIDC - ÚNICA,,30590978000111
AUTOPISTA FERNAO DIAS,,,Autopista Fernao Dias S.A.,,,09326342000170
AUTOPISTA FLUMINENSE,,,Autopista Fluminense S.A.,,,09324949000111
AUTOPISTA LITORAL SUL,,,Autopista Litoral Sul S.A.,,,09313969000197
AUTOPISTA PLANALTO SUL,,,Autopista Planalto Sul S.A.,,,09325109000173
AUTOPISTA REGIS BITTENCOURT,,,Autopista Regis Bittencourt S.A.,,,09336431000106
AVLA SEGUROS,,Avla Seguros Brasil S.A.,,,,41182665000140
AXIA ENERGIA,AXIA Energia S.A.,,AXIA Energia S.A.,,,00001180000126
AXIA ENERGIA NORDESTE,AXIA Energia Nordeste S.A.,,,,,33541368000116
AXIA ENERGIA SUL,,,AXIA Energia Sul S.A.,,,02016507000169
AXIS RENOVAVEIS FIDC,,,,AXIS RENOVÁVEIS FIDC  - SUBORDINADAS,,22873125000169
AXS ENERGIA UFV GOIAS SPE,,AXS Energia UFV Goias SPE S.A.,,,,46409396000126
AXS ENERGIA UNIDADE 08,,AXS Energia Unidade 08 S.A.,,,,50117806000132
