dt_captura,no_emissor,link,no_tipo_rating,de_rating_br,de_rating_cp,de_rating_lp,dt_acao_rating,de_acao_rating,de_outlook,link_relatorio
2026-09-25,AFINITTY MF FIDC (ELETRO FIDC) - SENIORES ÚNICA,https://www.austin.com.br/Historico-Rating/2365/Afinitty_MF_FIDC_(Eletro_FIDC)_-_Seniores_Única,FIDCs,brBBB+,,brBBB+,2018-08-15,Rebaixamento,Estável,
2026-09-25,AFINITTY MF FIDC (ELETRO FIDC) - SENIORES ÚNICA,https://www.austin.com.br/Historico-Rating/2365/Afinitty_MF_FIDC_(Eletro_FIDC)_-_Seniores_Única,FIDCs,brA-,,brA-,2017-08-15,Confirmação,Estável,
2026-09-25,AFINITTY MF FIDC (ELETRO FIDC) - SENIORES ÚNICA,https://www.austin.com.br/Historico-Rating/2365/Afinitty_MF_FIDC_(Eletro_FIDC)_-_Seniores_Única,FIDCs,brA-,,brA-,2017-05-16,Confirmação,Estável,
2026-09-25,AFINITTY MF FIDC (ELETRO FIDC) - SENIORES ÚNICA,https://www.austin.com.br/Historico-Rating/2365/Afinitty_MF_FIDC_(Eletro_FIDC)_-_Seniores_Única,FIDCs,brA-,,brA-,2017-02-24,Confirmação,Estável,
2026-09-25,AFINITTY MF FIDC (ELETRO FIDC) - SENIORES ÚNICA,https://www.austin.com.br/Historico-Rating/2365/Afinitty_MF_FIDC_(Eletro_FIDC)_-_Seniores_Única,FIDCs,brA-,,brA-,2016-01-26,Rating Inicial,Estável,
2026-09-25,AFINITTY MF FIDC (ELETRO FIDC) - ÚNICA,https://www.austin.com.br/Historico-Rating/2646/Afinitty_MF_FIDC_(Eletro_FIDC)_-_Única_,FIDCs,brCCC,,brCCC,2020-04-02,Observação Negativa,,https://www.austin.com.br/Relatorio/Rating/Afinitty_MF_FIDC_(Eletro_FIDC)/9713
2026-09-25,AFINITTY MF FIDC (ELETRO FIDC) - ÚNICA,https://www.austin.com.br/Historico-Rating/2646/Afinitty_MF_FIDC_(Eletro_FIDC)_-_Única_,FIDCs,brCCC,,brCCC,2020-02-26,Confirmação,Estável,
2026-09-25,AFINITTY MF FIDC (ELETRO FIDC) - ÚNICA,https://www.austin.com.br/Historico-Rating/2646/Afinitty_MF_FIDC_(Eletro_FIDC)_-_Única_,FIDCs,brCCC,,brCCC,2019-11-11,Elevação,Estável,
2026-09-25,AFINITTY MF FIDC (ELETRO FIDC) - ÚNICA,https://www.austin.com.br/Historico-Rating/2646/Afinitty_MF_FIDC_(Eletro_FIDC)_-_Única_,FIDCs,brCC,,brCC,2019-08-06,Confirmação,Estável,
2026-09-25,AFINITTY MF FIDC (ELETRO FIDC) - ÚNICA,https://www.austin.com.br/Historico-Rating/2646/Afinitty_MF_FIDC_(Eletro_FIDC)_-_Única_,FIDCs,brCC,,brCC,2019-05-20,Confirmação,Estável,
