dt_captura,no_emissor,no_setor,link
2026-09-25,ASA LP FIC FIDC - SENIORES 3ª SÉRIE,FIDCs,https://www.austin.com.br/Historico-Rating/4674/ASA_LP_FIC_FIDC_-_Seniores_3ª_série
2026-09-25,ASA LP FIC FIDC - SENIORES 9ª SÉRIE,FIDCs,https://www.austin.com.br/Historico-Rating/4521/ASA_LP_FIC_FIDC_-_Seniores_9ª_série
2026-09-25,ASA LP FIC FIDC - SENIORES 8ª SÉRIE,FIDCs,https://www.austin.com.br/Historico-Rating/4520/ASA_LP_FIC_FIDC_-_Seniores_8ª_série
2026-09-25,ASA LP FIC FIDC - SENIORES 7ª SÉRIE,FIDCs,https://www.austin.com.br/Historico-Rating/4519/ASA_LP_FIC_FIDC_-_Seniores_7ª_série
2026-09-25,ATICCA FIC FIDC - SUBORDINADAS JÚNIOR,FIDCs,https://www.austin.com.br/Historico-Rating/4801/Aticca_FIC_FIDC_-_Subordinadas_Júnior_
2026-09-25,ATICCA FIC FIDC - SUBORDINADAS MEZANINO II,FIDCs,https://www.austin.com.br/Historico-Rating/4800/Aticca_FIC_FIDC_-_Subordinadas_Mezanino_II_
2026-09-25,ATICCA FIC FIDC - SUBORDINADAS MEZANINO I,FIDCs,https://www.austin.com.br/Historico-Rating/4799/Aticca_FIC_FIDC_-_Subordinadas_Mezanino_I_
2026-09-25,ATICCA FIC FIDC - SENIORES ÚNICA,FIDCs,https://www.austin.com.br/Historico-Rating/4798/Aticca_FIC_FIDC_-_Seniores_Única
2026-09-25,ATICCA FIDC - SUBORDINADAS MEZANINO I,FIDCs,https://www.austin.com.br/Historico-Rating/3107/Aticca_FIDC_-_Subordinadas_Mezanino_I_
2026-09-25,ATICCA FIDC - SENIORES 2ª SÉRIE,FIDCs,https://www.austin.com.br/Historico-Rating/3098/Aticca_FIDC_-_Seniores_2ª_série
2026-09-25,ATICCA FIDC - SUBORDINADAS JÚNIOR,FIDCs,https://www.austin.com.br/Historico-Rating/2854/Aticca_FIDC_-_Subordinadas_Júnior_
2026-09-25,ATLANTA FIDC MULTISSETORIAL - SENIORES 8ª SÉRIE,FIDCs,https://www.austin.com.br/Historico-Rating/3430/Atlanta_FIDC_Multissetorial_-_Seniores_8ª_série
2026-09-25,ATLANTA FIDC MULTISSETORIAL - SENIORES 6ª SÉRIE,FIDCs,https://www.austin.com.br/Historico-Rating/2924/Atlanta_FIDC_Multissetorial_-_Seniores_6ª_série
2026-09-25,ATLANTA FIDC MULTISSETORIAL - SENIORES 5ª SÉRIE,FIDCs,https://www.austin.com.br/Historico-Rating/2923/Atlanta_FIDC_Multissetorial_-_Seniores_5ª_série
2026-09-25,ATLANTA FIDC MULTISSETORIAL - SUBORDINADAS,FIDCs,https://www.austin.com.br/Historico-Rating/1606/Atlanta_FIDC_Multissetorial_-_Subordinadas_
2026-09-25,ATLANTA FIDC MULTISSETORIAL - SENIORES 4ª SÉRIE,FIDCs,https://www.austin.com.br/Historico-Rating/1604/Atlanta_FIDC_Multissetorial_-_Seniores_4ª_série
2026-09-25,ATLANTA FIDC MULTISSETORIAL - SENIORES 3ª SÉRIE,FIDCs,https://www.austin.com.br/Historico-Rating/1603/Atlanta_FIDC_Multissetorial_-_Seniores_3ª_série
