dt_captura,no_emissor,no_setor,link
2026-09-25,METROPOLITANA ATIVOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29117
2026-09-25,Fundo de Investimento em Direitos Creditórios Kovi I,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29119
2026-09-25,AEG 4 FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29124
2026-09-25,NPL SN FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29122
2026-09-25,MILAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS RESPONSABILIDADE LIMITADA,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29120
2026-09-25,Basso Fundo de Investimento em Direitos Creditórios,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29109
2026-09-25,CAPITAL FINANÇAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29078
2026-09-25,Fundo de Investimento em Direitos Creditórios Não Padronizados Sifra Performance,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29108
2026-09-25,GFM FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTICREDITO,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29086
2026-09-25,RIDOLFINVEST 2  FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS RESPONSABILIDADE LIMITADA,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29096
2026-09-25,LARCA MULTIPLICA CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29077
2026-09-25,SIFRA ENERGY PODIUM FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29094
2026-09-25,ÁRTICO MIDDLE CORPORATE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29093
2026-09-25,MR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29097
2026-09-25,Fundo de Investimento em Direitos Creditórios Multissetorial Prospecta LP,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29076
2026-09-25,LIBRA II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29105
2026-09-25,C+ VALORA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29098
2026-09-25,DAYCOVAL CONCRÉDITO CLT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29040
2026-09-25,SAN PRECA FEDERAL I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS – RESPONSABILIDADE LIMITADA,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29104
2026-09-25,JC 4870 II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29102
2026-09-25,JC 4870 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - NÃO PADRONIZADO,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29103
2026-09-25,MALMO FICFIDC-NP,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29092
2026-09-25,DIRETA CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL DE CLASSE ÚNICA FECHADA,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29084
2026-09-25,HUBCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29088
2026-09-25,ACL NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29075
2026-09-25,C3E CRÉDITOS JUDICIAIS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29091
2026-09-25,C3E CRÉDITOS JUDICIAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29090
2026-09-25,Sifra Plus Multissegmento Fundo de Investimento em Direitos Creditórios,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29083
2026-09-25,SIFRA LP FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29070
2026-09-25,IGNIS CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29047
2026-09-25,ALGARVE MEDITERRÂNEO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29066
2026-09-25,LIBRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29059
2026-09-25,SIGMA CREDIT FEEDER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29062
2026-09-25,DCASH FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29068
2026-09-25,JC Diversificado III Fundo de Investimento em Direitos Creditórios Não-Padronizado,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29071
2026-09-25,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS ONIX PRIME,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29053
2026-09-25,JGP ESTRUTURADOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS – RESPONSABILIDADE LIMITADA,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29072
2026-09-25,JGP ESTRUTURADOS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29073
2026-09-25,DCASH FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29081
