emissor,cnpj,razao_rfb,razao_cvm,status,obs
NOVO BANCO CONTINENTAL,05985814000146,NOVO BANCO S.A. - BANCO ITAU S.A.,,⚠️,match parcial (substring) (RFB)
AETE,06001492000116,AETE - AMAZONIA EMPRESA TRANSMISSORA DE ENERGIA S.A.,,✅,match exato (RFB)
BEM ALIMENTOS,06004860000180,BEM BRASIL ALIMENTOS S/A,,✅,match exato (RFB)
CONVICON,06013760000110,CONVICON CONTEINERES DE VILA DO CONDE S/A,,⚠️,match parcial (substring leniente) (RFB)
REDE D'OR SAO LUIZ,06047087000139,REDE D'OR SAO LUIZ S.A.,,✅,match exato (RFB)
SENDAS DISTRIBUIDORA,06057223000171,SENDAS DISTRIBUIDORA S/A,,✅,match exato (RFB)
GOL LINHAS AEREAS INTELIGENTES,06164253000187,GOL LINHAS AEREAS INTELIGENTES S.A.,,✅,match exato (RFB)
COMPANHIA AGUAS ITAPEMA,06220197000150,COMPANHIA AGUAS DE ITAPEMA,,✅,match exato (RFB)
TRANSPORTADORA ASSOCIADA GAS,06248349000123,TRANSPORTADORA ASSOCIADA DE GAS S.A. - TAG,,✅,match exato (RFB)
EQUATORIAL MARANHAO DISTRIBUIDORA ENERGIA,06272793000184,EQUATORIAL MARANHAO DISTRIBUIDORA DE ENERGIA S.A,,✅,match exato (RFB)
SBF COMERCIO PRODUTOS ESPORTIVOS,06347409000165,SBF COMERCIO DE PRODUTOS ESPORTIVOS S.A.,,✅,match exato (RFB)
MARANHAO,06.354.468/0001-60,ESTADO DO MARANHAO,,✅,match exato (leniente) (RFB)
INTEGRAL INVESTIMENTOS,06576569000186,INTEGRAL INVESTIMENTOS LTDA.,,✅,match exato (RFB)
EMPREENDIMENTOS PAGUE MENOS,06626253000151,EMPREENDIMENTOS PAGUE MENOS S/A,,✅,match exato (RFB)
EQUATORIAL PIAUI DISTRIBUIDORA ENERGIA,06840748000189,EQUATORIAL PIAUI DISTRIBUIDORA DE ENERGIA S.A,,✅,match exato (RFB)
COOPERATIVA CREDITO MAXI ALFA LIVRE ADMISSAO ASSOCIADOS,06975802000101,ASSOCIACAO DOS FUNCIONARIOS DA COOPERATIVA DE CREDITO MAXI ALFA DE LIVRE ADMISSAO DE ASSOCIADOS SICOOB MAXICREDITO/SC,,⚠️,match parcial (substring leniente) (RFB)
BR MALLS PARTICIPACOES,06977745000191,BR MALLS PARTICIPACOES S.A.,,✅,match exato (RFB)
CEMIG GERACAO TRANSMISSAO,06981176000158,CEMIG GERACAO E TRANSMISSAO S.A,,✅,match exato (RFB)
CEMIG DISTRIBUICAO,06981180000116,CEMIG DISTRIBUICAO S.A,,✅,match exato (RFB)
BANCO VOTORANTIM,06986650000134,BANCO VOTORANTIM S.A. - BRANCH NASSAU - BANCO VOTORANTIM SA,,✅,match exato (RFB)
LOGISTICA AMBIENTAL SAO PAULO,07032886000102,LOGISTICA AMBIENTAL DE SAO PAULO S.A. - LOGA,,✅,match exato (RFB)
COMPANHIA AGUA ESGOTO CEARA,07040108000157,COMPANHIA DE AGUA E ESGOTO DO CEARA CAGECE,,⚠️,match parcial (substring leniente) (RFB)
COMPANHIA ENERGETICA CEARA,07047251021410,COMPANHIA ENERGETICA DO CEARA,,✅,match exato (RFB)
NORSA REFRIGERANTES,07196033000106,NORSA REFRIGERANTES S.A,,✅,match exato (RFB)
COOPERATIVA CENTRAL CREDITO ECONOMIA INTERACAO SOLIDARIA,07202627000174,COOPERATIVA CENTRAL DE CREDITO E ECONOMIA COM INTERACAO SOLIDARIA CRESOL CENTRAL BRASIL,,⚠️,match parcial (substring leniente) (RFB)
M DIAS BRANCO INDUSTRIA COMERCIO ALIMENTOS,07206816000115,M DIAS BRANCO S.A. INDUSTRIA E COMERCIO DE ALIMENTOS,,✅,match exato (RFB)
BANCO NORDESTE,07237373000120,BANCO DO NORDESTE DO BRASIL SA,,✅,match exato (RFB)
COMERC ENERGIA,07252146000173,COMERC ENERGIA LTDA.,,✅,match exato (RFB)
ENERGISA SUL SUDESTE,07282377000120,ENERGISA SUL-SUDESTE - DISTRIBUIDORA DE ENERGIA S.A.,,⚠️,match parcial (substring) (RFB)
HOSPITAL VERA CRUZ,07309998000150,HOSPITAL VERA CRUZ LTDA,,✅,match exato (RFB)
BE8,07322382000119,BE8 S.A.,,✅,match exato (RFB)
VINLAND CAPITAL MANAGEMENT GESTORA RECURSOS,07341777000169,VINLAND CAPITAL MANAGEMENT GESTORA DE RECURSOS LTDA.,,✅,match exato (RFB)
SICOOB DISTRIBUIDORA TITULOS VALORES MOBILIARIOS,07397614000106,SICOOB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,,✅,match exato (RFB)
ELDORADO CELULOSE,07401436000131,ELDORADO BRASIL CELULOSE S/A,,✅,match exato (RFB)
SIMPAR,07415333000120,SIMPAR S.A.,,✅,match exato (RFB)
WESTERN ASSET MANAGEMENT DTVM,07.437.241/0001-41,FRANKLIN TEMPLETON BRASIL LTDA,,⚠️,match parcial (renome: WESTERN ASSET->FRANKLIN TEMPLETON) (RFB)
BANK OF CHINA BANCO MULTIPLO,07450604000189,BANK OF CHINA (BRASIL) BANCO MULTIPLO S/A,,✅,match exato (RFB)
NEOENERGIA DISTRIBUICAO BRASILIA,07522669000192,NEOENERGIA DISTRIBUICAO BRASILIA S.A.,,✅,match exato (RFB)
AMBEV,07526557000100,AMBEV S.A.,,✅,match exato (RFB)
GAIA SECURITIZADORA,07.587.384/0001-30,PLANETA SECURITIZADORA SA,,⚠️,match parcial (1/2 palavras) (RFB)
PLANETA SECURITIZADORA,07587384000130,PLANETA SECURITIZADORA SA,,✅,match exato (RFB)
SMARTFIT ESCOLA GINASTICA DANCA,07594978000178,SMARTFIT ESCOLA DE GINASTICA E DANCA S.A,,✅,match exato (RFB)
XP GESTAO RECURSOS,07625200000189,XP GESTAO DE RECURSOS LTDA,,✅,match exato (RFB)
ACO VERDE,07636657000199,ACO VERDE DO BRASIL S/A,,✅,match exato (RFB)
BANCO TOPAZIO,07679404000100,BANCO TOPAZIO S.A.,,✅,match exato (RFB)
CONCESSIONARIA LINHA 4 METRO SAO PAULO,07682638000107,CONCESSIONARIA DA LINHA 4 DO METRO DE SAO PAULO S.A,,✅,match exato (RFB)
EMBRAER,07689002000189,EMBRAER S.A.,,✅,match exato (RFB)
GIGA MAIS FIBRA TELECOMUNICACOES,07714104000107,GIGA MAIS FIBRA TELECOMUNICACOES S.A.,,✅,match exato (RFB)
INTEGRACAO TRANSMISSORA ENERGIA,07799081000180,INTEGRACAO TRANSMISSORA DE ENERGIA S/A,,✅,match exato (RFB)
ESSENTIA PCHS,07802794000156,ESSENTIA PCHS S.A,,✅,match exato (RFB)
MULTIPLAN EMPREENDIMENTOS IMOBILIARIOS,07816890000820,MULTIPLAN EMPREENDIMENTOS IMOBILIARIOS S/A,,✅,match exato (RFB)
FOZ RIO CLARO ENERGIA,07823262000103,FOZ DO RIO CLARO ENERGIA S.A.,,✅,match exato (RFB)
AURA MINERALS,07857093000114,AURA MINERALS INC.,,✅,match exato (RFB)
TRANSMISSORA ALIANCA ENERGIA ELETRICA,07859971000130,TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A,,✅,match exato (RFB)
MOVIDA LOCACAO VEICULOS,07976147000160,MOVIDA LOCACAO DE VEICULOS S.A.,,✅,match exato (RFB)
RAIZEN ENERGIA,08070508000178,RAIZEN ENERGIA S.A,,✅,match exato (RFB)
QUEVEDOS ENERGETICA,08140348000196,QUEVEDOS ENERGETICA S.A.,,✅,match exato (RFB)
RINCAO ALBINOS ENERGETICA,08147388000160,RINCAO DOS ALBINOS ENERGETICA S.A.,,✅,match exato (RFB)
SALTO GUASSUPI ENERGETICA,08147946000197,SALTO DO GUASSUPI ENERGETICA S.A.,,✅,match exato (RFB)
IGUA SANEAMENTO,08159965000133,IGUA SANEAMENTO S.A.,,✅,match exato (RFB)
DESKTOP,08170849000115,DESKTOP S.A.,,✅,match exato (RFB)
COOPERATIVA CENTRAL CREDITO RURAL INTERACAO SOLIDARIA,08197413000110,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DO SERTAO CENTRAL DO CEARA,,⚠️,match parcial (5/5 palavras) (RFB)
AURA ALMAS MINERACAO,08213823000107,AURA ALMAS MINERACAO S/A,,✅,match exato (RFB)
ALUBAR METAIS CABOS,08262121000113,ALUBAR METAIS E CABOS S/A,,✅,match exato (RFB)
CERRADINHO BIOENERGIA,08322396000103,CERRADINHO BIOENERGIA S.A.,,✅,match exato (RFB)
COMPANHIA ENERGETICA RIO GRANDE NORTE,08324196000181,COMPANHIA ENERGETICA DO RIO GRANDE DO NORTE COSERN,,⚠️,match parcial (substring leniente) (RFB)
COMPANHIA AGUAS ESGOTOS RIO GRANDE NORTE,08334385000135,COMPANHIA DE AGUAS E ESGOTOS DO RIO GRANDE DO NORTE,,✅,match exato (RFB)
CELESC DISTRIBUICAO,08336783000190,CELESC DISTRIBUICAO S.A,,✅,match exato (RFB)
CELESC GERACAO,08336804000178,CELESC GERACAO S.A,,✅,match exato (RFB)
MRV ENGENHARIA PARTICIPACOES,08343492000120,MRV ENGENHARIA E PARTICIPACOES SA,,✅,match exato (RFB)
BANCO CSF,08357240000150,BANCO CSF S/A,,✅,match exato (RFB)
ALUPAR INVESTIMENTO,08364948000138,ALUPAR INVESTIMENTO S.A.,,✅,match exato (RFB)
GSH PARTICIPACOES,08397078000101,G S H CORP PARTICIPACOES S.A.,,⚠️,match parcial (1/1 palavras) (RFB)
GUARARAPES CONFECCOES,08402943000152,GUARARAPES CONFECCOES S/A,,✅,match exato (RFB)
CREDITO UNIVERSITARIO FUNDO INVESTIMENTO DIREITOS CREDITORIOS,08417544000165,CREDITO UNIVERSITARIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - RESPONSABILIDADE LIMITADA,,✅,match exato (RFB)
HEDGE SHOPPING FUNDO INVESTIMENTO IMOBILIARIO RESPONSABILIDADE LIMITADA,08431747000106,HEDGE BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIARIO DE RESPONSABILIDADE LIMITADA,,✅,match exato (RFB)
CPFL ENERGIAS RENOVAVEIS,08439659000150,CPFL ENERGIAS RENOVAVEIS S.A.,,✅,match exato (RFB)
COMPANHIA ESTADUAL DISTRIBUICAO ENERGIA ELETRICA,08467115000100,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE-D,,✅,match exato (RFB)
VALE TIJUCO ACUCAR ALCOOL,08493354000127,VALE DO TIJUCO ACUCAR E ALCOOL S.A.,,✅,match exato (RFB)
CONCESSIONARIA ROTA COQUEIROS,08533336000121,CONCESSIONARIA ROTA DOS COQUEIROS S.A.,,✅,match exato (RFB)
RED,08632394000102,RED - FUNDO DE  INVESTIMENTO EM DIREITOS CREDITORIOS MULTISETORIAL LP - RESPONSABILIDADE  LIMITADA,,✅,match exato (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISSETORIAL ONE7 LP,08654210000105,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL ONE7 LP RESPONSABILIDADE LIMITADA,,✅,match exato (leniente) (RFB)
CARTAO COMPRA SUPPLIER FIDC,08692888000182,CARTAO DE COMPRA SUPPLIER FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - RESPONSABILIDADE LIMITADA,,✅,match exato (leniente) (RFB)
BC GESTAO RECURSOS,08752088000100,BC GESTAO DE RECURSOS LTDA.,,✅,match exato (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS TRADEMAX RESPONSABILIDADE LIMITADA,08756222000140,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL TRADEMAX RESPONSABILIDADE LIMITADA,,⚠️,match parcial (substring leniente) (RFB)
PARAIBA,08761124000100,ESTADO DA PARAIBA,,✅,match exato (leniente) (RFB)
GENERAL SHOPPING OUTLETS,08764621000153,GENERAL SHOPPING E OUTLETS DO BRASIL S.A,,✅,match exato (RFB)
RIZA SECURITIZADORA,08769451000108,RIZA SECURITIZADORA S.A.,,✅,match exato (RFB)
RIZA SECURITIZADORA 2019,08.769.451/0001-08,RIZA SECURITIZADORA S.A.,,✅,match exato (sem sufixo) (RFB)
RIZA SECURITIZADORA 2021,08.769.451/0001-08,RIZA SECURITIZADORA S.A.,,✅,match exato (sem sufixo) (RFB)
RIZA SECURITIZADORA 2022,08.769.451/0001-08,RIZA SECURITIZADORA S.A.,,✅,match exato (sem sufixo) (RFB)
RIZA SECURITIZADORA 2023,08.769.451/0001-08,RIZA SECURITIZADORA S.A.,,✅,match exato (sem sufixo) (RFB)
VIRGO COMPANHIA SECURITIZACAO,08.769.451/0001-08,RIZA SECURITIZADORA S.A.,,⚠️,match parcial (renome: VIRGO->RIZA) (RFB)
VIRGO II CIA SECURITIZACAO 2018,08.769.451/0001-08,RIZA SECURITIZADORA S.A.,,⚠️,match parcial (renome: VIRGO->RIZA) (RFB)
BIOENERGETICA VALE PARACATU,08793343000162,BIOENERGETICA VALE DO PARACATU SA,,✅,match exato (RFB)
CURY CONSTRUTORA INCORPORADORA,08797760000183,CURY CONSTRUTORA E INCORPORADORA S.A.,,✅,match exato (RFB)
SYN PROP TECH,08801621000186,SYN PROP E TECH S.A.,,✅,match exato (RFB)
YDUQS PARTICIPACOES,08807432000110,YDUQS PARTICIPACOES S.A.,,✅,match exato (RFB)
TRISUL,08811643000127,TRISUL S.A.,,✅,match exato (RFB)
CONCESSIONARIA RODOVIA MG,08822767000108,CONCESSIONARIA DA RODOVIA MG-050 S/A,,✅,match exato (RFB)
AEGEA SANEAMENTO PARTICIPACOES,08827501000158,AEGEA SANEAMENTO E PARTICIPACOES S.A.,,✅,match exato (RFB)
CORPOREOS SERVICOS TERAPEUTICOS,08845676049367,CORPOREOS - SERVICOS TERAPEUTICOS S.A.,,✅,match exato (leniente) (RFB)
ECORODOVIAS CONCESSOES SERVICOS,08873873000110,ECORODOVIAS CONCESSOES E SERVICOS S/A,,✅,match exato (RFB)
CSN MINERACAO,08902291000115,CSN MINERACAO S.A.,,✅,match exato (RFB)
PRIO FORTE,08926302000105,PRIO FORTE S.A.,,✅,match exato (RFB)
ICRED SOLUCOES FINANCEIRAS,08939806000151,ICRED SOLUCOES FINANCEIRAS S.A,,✅,match exato (RFB)
BIVI HOLDING,08964236000150,BIVI HOLDING S.A.,,✅,match exato (RFB)
LOG COMMERCIAL PROPERTIES PARTICIPACOES,09041168000110,LOG COMMERCIAL PROPERTIES E PARTICIPACOES S.A,,✅,match exato (RFB)
ELFA MEDICAMENTOS,09053134000145,ELFA MEDICAMENTOS S.A,,✅,match exato (RFB)
EFI,09089356000118,EFI S.A. - INSTITUICAO DE PAGAMENTO,,✅,match exato (RFB)
ENERGISA PARAIBA,09095183000140,ENERGISA PARAIBA - DISTRIBUIDORA DE ENERGIA S.A,,✅,match exato (RFB)
OCEANPACT SERVICOS MARITIMOS,09114805000130,OCEANPACT SERVICOS MARITIMOS S.A.,,✅,match exato (RFB)
KALLAS INCORPORACOES CONSTRUCOES,09146451000106,KALLAS INCORPORACOES E CONSTRUCOES S.A.,,✅,match exato (RFB)
SERENA GERACAO,09149503000106,SERENA GERACAO S.A,,✅,match exato (RFB)
BANCO PINE,09160859000132,BANCO PINE S/A,,✅,match exato (RFB)
FERROVIA NORTE SUL,09257877000137,FERROVIA NORTE SUL S/A,,✅,match exato (RFB)
CRESCERA GESTAO RECURSOS,09259317000111,CRESCERA GESTAO DE RECURSOS LTDA,,✅,match exato (RFB)
SANEAMENTO AMBIENTAL AGUAS,09266129000110,SANEAMENTO AMBIENTAL AGUAS DO BRASIL SA,,✅,match exato (RFB)
ANIMA HOLDING,09288252000132,ANIMA HOLDING S.A.,,✅,match exato (RFB)
HABITASEC 2022,09.304.427/0001-58,HABITASEC SECURITIZADORA S.A.,,⚠️,match parcial (substring leniente) (RFB)
HABITASEC SECURITIZADORA,09304427000158,HABITASEC SECURITIZADORA S.A.,,✅,match exato (RFB)
AZUL,09305994000129,AZUL S.A.,,✅,match exato (RFB)
AZUL INVESTMENTS LLP,09305994000129,AZUL S.A.,,⚠️,match parcial (substring leniente) (RFB)
CARUANA,09313766000109,"CARUANA S/A - SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO",,✅,match exato (RFB)
AUTOPISTA LITORAL SUL,09313969000197,AUTOPISTA LITORAL SUL S.A.,,✅,match exato (RFB)
AUTOPISTA FLUMINENSE,09324949000111,AUTOPISTA FLUMINENSE S/A,,✅,match exato (RFB)
AUTOPISTA PLANALTO SUL,09325109000173,AUTOPISTA PLANALTO SUL S.A.,,✅,match exato (RFB)
AUTOPISTA FERNAO DIAS,09326342000170,AUTOPISTA FERNAO DIAS S.A.,,✅,match exato (RFB)
OCEANA INVESTIMENTOS,09326542000123,OCEANA INVESTIMENTOS ADMINISTRADORA DE CARTEIRA DE VALORES MOBILIARIOS LTDA,,⚠️,match parcial (substring leniente) (RFB)
AUTOPISTA REGIS BITTENCOURT,09336431000106,AUTOPISTA REGIS BITTENCOURT S/A,,✅,match exato (RFB)
B3,09346601000125,"B3 S.A. - BRASIL, BOLSA, BALCAO",,✅,match exato (RFB)
ELETROMIDIA,09347516000181,ELETROMIDIA S.A.,,✅,match exato (RFB)
ASA BRANCA HOLDING,09359927000197,ASA BRANCA HOLDING S.A.,,✅,match exato (RFB)
CONCESSIONARIA RODOANEL OESTE,09387725000159,CONCESSIONARIA DO RODOANEL OESTE S.A.,,✅,match exato (RFB)
K,09414761000164,K-INFRA RODOVIA DO ACO S.A.,,✅,match exato (RFB)
PICPAY BANK,09516419000175,PICPAY BANK - BANCO MULTIPLO S.A.,,✅,match exato (RFB)
ENVIRONMENTAL ESG PARTICIPACOES,09527023000123,ENVIRONMENTAL ESG PARTICIPACOES S.A.,,✅,match exato (RFB)
DAHLIA CAPITAL GESTAO RECURSOS,09551766000139,DAHLIA CAPITAL GESTAO DE RECURSOS LTDA.,,✅,match exato (RFB)
MANAUS TRANSMISSORA ENERGIA,09584854000137,MANAUS TRANSMISSORA DE ENERGIA S.A,,✅,match exato (RFB)
JUNTO RESSEGUROS,09594758000170,JUNTO RESSEGUROS S.A.,,✅,match exato (RFB)
RIO CASCA ENERGETICA,09597979000100,RIO CASCA ENERGETICA S.A.,,✅,match exato (RFB)
NORTE TRANSMISSORA ENERGIA,09625321000156,NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.,,✅,match exato (RFB)
PLURAL INVESTIMENTOS GESTAO RECURSOS,09630188000126,PLURAL INVESTIMENTOS GESTAO DE RECURSOS LTDA.,,✅,match exato (RFB)
CPX DISTRIBUIDORA,10158356000101,CPX DISTRIBUIDORA S.A.,,✅,match exato (RFB)
COMPANHIA LOCACAO AMERICAS,10215988000160,COMPANHIA DE LOCACAO DAS AMERICAS,,✅,match exato (RFB)
SANTANDER GESTAO RECURSOS,10231177000152,SANTANDER BRASIL GESTAO DE RECURSOS LTDA.,,✅,match exato (RFB)
LINHAS XINGU TRANSMISSORA ENERGIA,10240186000100,LINHAS DE XINGU TRANSMISSORA DE ENERGIA S.A.,,✅,match exato (RFB)
LEBLON EQUITIES GESTAO RECURSOS,10240925000163,LEBLON EQUITIES GESTAO DE RECURSOS LTDA.,,✅,match exato (RFB)
BANCO SEGURO,10264663000177,BANCOSEGURO S.A.,,⚠️,match parcial (sem espacos) (RFB)
BANCOSEGURO,10264663000177,BANCOSEGURO S.A.,,✅,match exato (RFB)
REGENERA RIO,10319900000150,REGENERA RIO S.A,,✅,match exato (RFB)
CONCESSAO METROVIARIA RIO JANEIRO,10324624000118,CONCESSAO METROVIARIA DO RIO DE JANEIRO S.A.,,✅,match exato (RFB)
ELEKEIROZ,10362796000186,ELEKEIROZ S/A,,✅,match exato (RFB)
BANCO YAMAHA MOTOR,10371492000185,BANCO YAMAHA MOTOR DO BRASIL S.A.,,✅,match exato (RFB)
COMBIO ENERGIA,10376555000196,COMBIO ENERGIA S.A.,,✅,match exato (RFB)
REDWOOD ADMINISTRACAO RECURSOS,10405423000145,REDWOOD ADMINISTRACAO DE RECURSOS LTDA,,✅,match exato (RFB)
INTERCEMENT PARTICIPACOES,10456140000122,INTERCEMENT PARTICIPACOES S A - EM RECUPERACAO JUDICIAL,,✅,match exato (RFB)
CONCESSIONARIA AUTO RAPOSO TAVARES,10531501000158,CONCESSIONARIA AUTO RAPOSO TAVARES S.A.,,✅,match exato (RFB)
BRENNAND ENERGIA,10532985000150,BRENNAND ENERGIA S/A,,✅,match exato (RFB)
TRANSENERGIA RENOVAVEL,10553895000145,TRANSENERGIA RENOVAVEL S.A,,✅,match exato (RFB)
MERCADO PAGO INSTITUICAO PAGAMENTO,10573521000191,MERCADO PAGO INSTITUICAO DE PAGAMENTO LTDA,,✅,match exato (RFB)
BARI SECURITIZADORA,10608405000160,BARI SECURITIZADORA S.A.,,✅,match exato (RFB)
BARI SECURITIZADORA 2023,10608405000160,BARI SECURITIZADORA S.A.,,✅,match exato (sem sufixo) (RFB)
CRI BARI SECURITIZADORA 2022,10.608.405/0001-60,BARI SECURITIZADORA S.A.,,⚠️,match parcial (substring leniente) (RFB)
BARI SECURITIZADORA 2024,10608405000241,BARI SECURITIZADORA S.A.,,✅,match exato (sem sufixo) (RFB)
RC HOLDING,10620033000198,RC HOLDING S/A,,✅,match exato (RFB)
PRIO,10629105000168,PRIO S.A.,,✅,match exato (RFB)
VIARONDON CONCESSIONARIA RODOVIA,10635691000153,VIARONDON CONCESSIONARIA DE RODOVIA S/A,,✅,match exato (RFB)
EMERGENCIA PARTICIPACOES,10645019000149,EMERGENCIA PARTICIPACOES S/A,,✅,match exato (RFB)
CONCESSIONARIA ROTA BANDEIRAS,10647979000148,CONCESSIONARIA ROTA DAS BANDEIRAS S.A.,,✅,match exato (RFB)
DESENVOLVE SP,10663610000129,DESENVOLVE SP AGENCIA DE FOMENTO DO ESTADO DE SAO PAULO S.A.,,⚠️,match parcial (substring leniente) (RFB)
BANCO AGIBANK,10664513000150,BANCO AGIBANK S.A,,✅,match exato (RFB)
BANCO CHINA,10690848000143,BANCO DA CHINA BRASIL S.A,,✅,match exato (RFB)
ECO SECURITIZADORA 2019,10.753.164/0001-43,ECO SECURITIZADORA DE DIREITOS CREDITORIOS DO AGRONEGOCIO SA,,⚠️,match parcial (sem sufixo) (RFB)
ECO SECURITIZADORA 2021,10753164000143,ECO SECURITIZADORA DE DIREITOS CREDITORIOS DO AGRONEGOCIO SA,,⚠️,match parcial (sem sufixo) (RFB)
ECO SECURITIZADORA 2022,10.753.164/0001-43,ECO SECURITIZADORA DE DIREITOS CREDITORIOS DO AGRONEGOCIO SA,,⚠️,match parcial (sem sufixo) (RFB)
ECO SECURITIZADORA 2023,10.753.164/0001-43,ECO SECURITIZADORA DE DIREITOS CREDITORIOS DO AGRONEGOCIO SA,,⚠️,match parcial (sem sufixo) (RFB)
ECO SECURITIZADORA 2024,10.753.164/0001-43,ECO SECURITIZADORA DE DIREITOS CREDITORIOS DO AGRONEGOCIO SA,,⚠️,match parcial (sem sufixo) (RFB)
ECO SECURITIZADORA 2025,10.753.164/0001-43,ECO SECURITIZADORA DE DIREITOS CREDITORIOS DO AGRONEGOCIO SA,,⚠️,match parcial (sem sufixo) (RFB)
ECO SECURITIZADORA 2026,10.753.164/0001-43,ECO SECURITIZADORA DE DIREITOS CREDITORIOS DO AGRONEGOCIO SA,,⚠️,match parcial (sem sufixo) (RFB)
ECO SECURITIZADORA DIREITOS CREDITORIOS AGRONEGOCIO,10753164000143,ECO SECURITIZADORA DE DIREITOS CREDITORIOS DO AGRONEGOCIO SA,,✅,match exato (RFB)
CVC OPERADORA AGENCIA VIAGENS,10760260000119,CVC BRASIL OPERADORA E AGENCIA DE VIAGENS S.A.,,✅,match exato (RFB)
BOA SAFRA SEMENTES,10807374000177,BOA SAFRA SEMENTES S.A,,✅,match exato (RFB)
COMPANHIA ENERGETICA PERNAMBUCO,10835932000108,COMPANHIA ENERGETICA DE PERNAMBUCO,,✅,match exato (RFB)
CONCESSIONARIA RODOVIAS AYRTON SENNA CARVALHO PINTO,10841050000155,CONCESSIONARIA DAS RODOVIAS AYRTON SENNA E CARVALHO PINTO S/A - ECOPISTAS,,✅,match exato (RFB)
VINCI EQUITIES GESTORA RECURSOS,10917835000164,VINCI EQUITIES GESTORA DE RECURSOS LTDA,,✅,match exato (RFB)
BTG PACTUAL HOLDING,10923227000162,BTG PACTUAL HOLDING S.A.,,✅,match exato (RFB)
ATMOS CAPITAL GESTAO RECURSOS,10957035000177,ATMOS CAPITAL GESTAO DE RECURSOS LTDA,,✅,match exato (RFB)
CUTIA EMPREENDIMENTOS EOLICOS,10979076000164,CUTIA EMPREENDIMENTOS EOLICOS S/A,,✅,match exato (RFB)
TRANSENERGIA SAO PAULO,10997565000149,TRANSENERGIA SAO PAULO S.A.,,✅,match exato (RFB)
VINCI GESTORA RECURSOS,11077576000173,VINCI GESTORA DE RECURSOS LTDA,,✅,match exato (RFB)
MINERVA FIDC,11088794000103,MINERVA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - CREDITO MERCANTIL RESPONSABILIDADE LIMITADA,,✅,match exato (leniente) (RFB)
AUTOBAN,11089723000125,AUTOBAN LTDA,,✅,match exato (RFB)
PADOVA PARTICIPACOES,11101981000180,PADOVA PARTICIPACOES LTDA,,✅,match exato (RFB)
CMPC CELULOSE RIOGRANDENSE,11234954000185,CMPC CELULOSE RIOGRANDENSE LTDA,,✅,match exato (RFB)
NEON FINANCEIRA,11285104000106,"NEON FINANCEIRA - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A",,✅,match exato (RFB)
BETA PRODUTORA ENERGIA SPE,11371025000118,BETA PRODUTORA DE ENERGIA SPE S/A,,✅,match exato (RFB)
PLURAL GESTAO RECURSOS,11397672000280,PLURAL GESTAO DE RECURSOS LTDA.,,✅,match exato (RFB)
SCANIA BANCO,11417016000110,SCANIA BANCO S.A.,,✅,match exato (RFB)
ORIZON VALORIZACAO RESIDUOS,11421994000136,ORIZON VALORIZACAO DE RESIDUOS S.A,,✅,match exato (RFB)
BANCO RANDON,11476673000139,BANCO RANDON SA,,✅,match exato (RFB)
C.VALE COOPERATIVA AGROINDUSTRIAL,11498012000104,ASSOCIACAO DOS FUNCIONARIOS DA C.VALE COOPERATIVA AGROINDUSTRIAL DE RIO BRILHANTE,,⚠️,match parcial (substring leniente) (RFB)
AUSTRAL SEGURADORA,11521976000126,AUSTRAL SEGURADORA S.A.,,✅,match exato (RFB)
AUSTRAL RESSEGURADORA,11536561000126,AUSTRAL RESSEGURADORA SA,,✅,match exato (RFB)
REAL INVESTOR ASSET MANAGEMENT,11570951000112,REAL INVESTOR ASSET MANAGEMENT LTDA,,✅,match exato (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISETORIAL MASTER,11675457000112,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISETORIAL MASTER,,✅,match exato (RFB)
POTTENCIAL SEGURADORA,11699534000174,POTTENCIAL SEGURADORA S.A.,,✅,match exato (RFB)
GOIAS TRANSMISSAO,11708279000189,GOIAS TRANSMISSAO S.A,,✅,match exato (RFB)
TRX SECURITIZADORA,11716471000117,TRX SECURITIZADORA S.A.,,✅,match exato (RFB)
ALASKA INVESTIMENTOS,11752203000150,ALASKA INVESTIMENTOS LTDA,,✅,match exato (RFB)
ALIANCA GERACAO ENERGIA,11851057000110,ALIANCA GERACAO DE ENERGIA LTDA,,✅,match exato (RFB)
