emissor,cnpj,razao_rfb,razao_cvm,status,obs
TGR SUBHOLDING 4,55764541000188,TGR SUBHOLDING 4 S.A.,,✅,match exato (RFB)
TGR SUBHOLDING 7,55764627000100,TGR SUBHOLDING 7 S.A.,,✅,match exato (RFB)
CONSIGNADOS VI FUNDO INVESTIMENTO DIREITOS CREDITORIOS,55843467000195,CONSIGNADOS VI FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - RESPONSABILIDADE LIMITADA,,✅,match exato (RFB)
PRAVALER CREDITO UNIVERSITARIO IV FUNDO INVESTIMENTO DIREITOS CREDITORIOS,55983705000168,PRAVALER CREDITO UNIVERSITARIO IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - RESP LIMITADA,,✅,match exato (RFB)
ASA LONGO PRAZO II FUNDO INVESTIMENTO COTAS FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,56924942000110,ASA LP II FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESP LIM,,⚠️,match parcial (7/10 palavras) (RFB)
GY ENERGY HOLDING III,56986853000107,GY ENERGY HOLDING III S.A,,✅,match exato (RFB)
DIALOGO ENGENHARIA CONSTRUCAO,57132417000125,DIALOGO ENGENHARIA E CONSTRUCAO S.A,,✅,match exato (RFB)
EMS,57507378001256,EMS S/A,,✅,match exato (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS BV AUTO I SEGMENTO FINANCEIRO,57532556000146,FIDC BV AUTO I SEGMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA,,✅,match exato (leniente) (RFB)
CLOUDWALK .I. FUNDO INVESTIMENTO DIREITOS CREDITORIOS SEGMENTO MEIOS PAGAMENTO,57609282000146,CLOUDWALK A.I. FUNDO  DE INVESTIMENTO EM DIREITOS CREDITORIOS SEGMENTO MEIOS DE PAGAMENTO,,✅,match exato (RFB)
PERNAMBUCANAS FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE,57624406000162,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS CONSORCIOS EXTERNOS -  RESPONSABILIDADE LIMITADA,,⚠️,match parcial (4/6 palavras) (RFB)
ICRED INSS FIDC RL,57823707000115,ICRED INSS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,⚠️,match parcial (substring leniente) (RFB)
CP COMERCIAL,57989868000183,JAGUAR BRASIL COMERCIAL IMPORTADORA LTDA,,⚠️,match parcial (1/2 palavras) (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS CREDITAS AUTO XI,58035124000192,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS CREDITAS AUTO XI,,✅,match exato (RFB)
IGUA SERGIPE,58070452000120,IGUA SERGIPE S.A.,,✅,match exato (RFB)
STELLANTIS FINANCIAMENTOS SOCIEDADE CREDITO,58082688000186,STELLANTIS FINANCIAMENTOS SOCIEDADE DE CREDITO LTDA,,✅,match exato (RFB)
FIDC PICPAY FGTS,58148845000109,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS PICPAY FGTS,,✅,match exato (leniente) (RFB)
