dt_captura,agencia,no_emissor_padronizado,no_emissor_original,no_tipo_rating,de_rating_br,de_outlook,dt_acao_rating,link
2026-09-20,Moody's,EMPRESA PARAENSE TRANSMISSAO ENERGIA,Empresa Paraense de Transmissão de Energia S.A.,Rating de Emissor,AAA.br,Perspectiva estável,2025-11-27,
2026-09-20,Moody's,FS INDUSTRIA BIOCOMBUSTIVEIS,FS Indústria de Biocombústiveis Ltda.,Rating Corporativo,A+.br,Perspectiva estável,2026-07-27,
2026-09-20,Moody's,FLEURY,Fleury S.A.,Rating Corporativo,AAA.br,Perspectiva estável,2026-06-30,
2026-09-20,Moody's,FRIGOL,Frigol S.A.,Rating de Emissor,A-.br,Perspectiva estável,2026-09-15,
2026-09-20,Moody's,FRISIA COOPERATIVA AGROINDUSTRIAL,Frisia Cooperativa Agroindustrial,Rating de Emissor,A+.br,Perspectiva estável,2026-09-03,
2026-09-20,Moody's,GJA INDUSTRIAS,GJA Industrias S.A.,Rating de Emissor,BB-.br,Perspectiva negativa,2026-09-14,
2026-09-20,Moody's,GAS ALAGOAS,Gás de Alagoas S.A. - ALGÁS,Rating Corporativo,A+.br,Perspectiva estável,2026-06-01,
2026-09-20,Moody's,HIDROVIAS,Hidrovias do Brasil S.A.,Rating de Emissor,AA.br,Perspectiva estável,2026-04-08,
2026-09-20,Moody's,HOSPITAL CARE CALEDONIA,Hospital Care Caledonia S.A.,Rating Corporativo,CC.br,Perspectiva negativa,2026-03-17,
2026-09-20,Moody's,HOSPITAL MATER DEI,Hospital Mater Dei S.A.,Rating de Emissor,AA+.br,Perspectiva estável,2026-01-13,
2026-09-20,Moody's,HYPERA,Hypera S.A.,Rating de Emissor,AAA.br,Perspectiva estável,2025-12-04,
2026-09-20,Moody's,INPASA AGROINDUSTRIAL,Inpasa Agroindustrial S.A.,Rating de Emissor,AA-.br,Perspectiva positiva,2026-04-27,
2026-09-20,Moody's,INSPIRALI EDUCACAO,Inspirali Educação S.A.,Rating de Emissor,AA.br,Perspectiva estável,2026-02-12,
2026-09-20,Moody's,INTERNATIONAL MEAL COMPANY ALIMENTACAO,International Meal Company Alimentação S.A. (Grupo IMC),Rating de Emissor,B-.br,Perspectiva negativa,2026-08-10,
2026-09-20,Moody's,IRANI PAPEL EMBALAGEM,Irani Papel e Embalagem S.A.,Rating de Emissor,AA.br,Perspectiva estável,2026-06-29,
2026-09-20,Moody's,JBS,JBS S.A.,Rating de Emissor,AAA.br,Perspectiva estável,2026-04-30,
2026-09-20,Moody's,JSL,JSL S.A.,Rating de Emissor,AA+.br,Perspectiva estável,2026-09-08,
2026-09-20,Moody's,KLABIN,Klabin S.A.,Rating Corporativo,AAA.br,Perspectiva estável,2026-03-17,
2026-09-20,Moody's,KORA SAUDE PARTICIPACOES,Kora Saude Participacoes S.A.,Rating Corporativo,CC.br,Perspectiva negativa,2026-05-05,
2026-09-20,Moody's,LM TRANSPORTES INTERESTADUAIS SERVICOS COMERCIO,LM Transportes Interestaduais Serviços e Comércio S.A.,Rating de Emissor,AA+.br,Perspectiva estável,2025-10-31,
2026-09-20,Moody's,LAVVI EMPREENDIMENTOS IMOBILIARIOS,Lavvi Empreendimentos Imobiliários S.A.,Rating de Emissor,AA+.br,Perspectiva estável,2025-11-18,
2026-09-20,Moody's,LIGGA TELECOMUNICACOES,Ligga Telecomunicações S.A.,Rating de Emissor,CCC-.br,Perspectiva negativa,2026-03-17,
2026-09-20,Moody's,LIVETECH BAHIA INDUSTRIA COMERCIO,Livetech da Bahia Indústria e Comércio S.A.,Rating Corporativo,A.br,Perspectiva estável,2025-11-28,
2026-09-20,Moody's,LOCALIZA RENT CAR,Localiza Rent a Car S.A.,Rating Corporativo,AAA.br,Perspectiva estável,2026-03-30,
2026-09-20,Moody's,MV4 PARTICIPACOES,MV4 Participações S.A.,Rating de Emissor,AA.br,Perspectiva estável,2026-05-28,
2026-09-20,Moody's,MAGNUM PARTNERS,Magnum Partners S.A.,Rating de Emissor,BBB+.br,Perspectiva estável,2025-12-17,
2026-09-20,Moody's,MELNICK DESENVOLVIMENTO IMOBILIARIO,Melnick Desenvolvimento Imobiliário S.A.,Rating de Emissor,AA.br,Perspectiva negativa,2026-07-08,
2026-09-20,Moody's,METRO BH,Metrô BH S.A.,Rating de Emissor,AA+.br,Perspectiva estável,2026-05-20,
2026-09-20,Moody's,MOVIDA PARTICIPACOES,Movida Participações S.A.,Rating de Emissor,AA+.br,Perspectiva estável,2026-09-04,
2026-09-20,Moody's,MULTILOG,Multilog S.A.,Rating de Emissor,AA-.br,Perspectiva estável,2026-03-24,
